Time s	       Force Beam 1Å  N	Force Beam 2Å  N	Force Beam 3Å  N	Force Beam 4Å N	       Vertical ForceÅ  N	Force Beam 1Ç N	Force Beam 2Ç N	Force Beam 3Ç N	Force Beam 4Ç N	Vertical ForceÇ N
0.000000	90.59	177.09	172.91	68.83	509.44	 158.66	221.62	      142.26	90.68	        613.25
0.002000	90.73	177.06	172.91	69.10	509.82	158.42	221.51	142.57	90.73	613.26
0.004000	90.64	176.93	172.86	69.15	509.60	158.23	221.65	142.37	90.70	612.98
0.006000	90.75	176.74	172.86	69.21	509.58	158.09	221.68	142.59	90.51	612.90
0.008000	90.56	176.69	173.02	69.10	509.39	157.84	221.68	142.54	90.37	612.46
0.010000	90.84	176.50	172.83	69.26	509.45	157.49	221.57	142.54	90.40	612.02
0.012000	90.81	176.15	172.83	69.48	509.29	157.16	221.76	142.84	90.21	612.00
0.014000	90.86	176.07	172.80	69.32	509.08	156.67	221.59	142.76	90.07	611.12
0.016000	90.89	175.86	172.50	69.40	508.67	156.50	221.46	142.70	89.68	610.38
0.018000	90.78	175.83	172.88	69.32	508.83	155.90	221.81	143.03	89.99	610.77
0.020000	90.64	175.51	172.86	69.45	508.49	155.55	221.70	143.14	89.79	610.22
0.022000	90.75	175.06	172.39	69.75	507.97	155.03	221.59	143.17	89.96	609.78
0.024000	90.86	175.03	172.42	69.48	507.81	154.73	221.57	143.33	89.60	609.26
0.026000	90.95	174.65	172.39	69.86	507.87	154.48	221.70	143.53	89.52	609.26
0.028000	90.70	174.52	172.58	69.75	507.58	154.16	221.65	143.47	89.41	608.71
0.030000	90.73	174.23	172.44	69.86	507.28	153.96	221.81	143.69	89.43	608.93
0.032000	90.73	174.01	172.28	69.75	506.79	153.99	221.90	143.72	89.49	609.12
0.034000	90.56	173.72	172.34	69.64	506.28	153.99	221.92	143.83	89.49	609.26
0.036000	90.64	173.40	172.23	69.80	506.10	153.66	222.01	143.69	89.24	608.63
0.038000	90.64	173.34	172.20	69.97	506.18	153.50	222.34	144.18	89.30	609.35
0.040000	90.62	173.16	172.31	69.75	505.86	153.31	222.34	144.05	89.52	609.24
0.042000	90.56	172.78	172.20	70.02	505.59	153.25	222.25	144.18	89.24	608.96
0.044000	90.51	172.54	172.09	69.86	505.02	153.25	222.39	144.29	89.16	609.13
0.046000	90.37	172.41	171.82	70.02	504.64	153.09	222.39	144.46	89.30	609.26
0.048000	90.48	172.25	171.95	70.02	504.73	153.28	222.80	144.62	89.54	610.28
0.050000	90.37	171.90	171.84	70.21	504.35	153.20	222.77	144.73	89.21	609.95
0.052000	90.31	171.66	171.87	70.13	504.00	153.06	222.88	144.79	89.63	610.39
0.054000	90.04	171.61	171.82	70.10	503.59	153.31	223.21	144.95	89.57	611.08
0.056000	90.26	171.31	171.90	70.18	503.68	153.39	223.16	144.79	89.43	610.80
0.058000	90.04	171.15	171.73	70.18	503.13	153.28	223.21	144.57	89.74	610.83
0.060000	89.98	170.78	171.76	70.35	502.90	153.14	223.49	145.20	89.74	611.60
0.062000	90.23	170.51	171.87	70.32	502.96	153.25	223.21	145.23	89.79	611.52
0.064000	89.98	170.40	171.73	70.43	502.58	153.28	223.46	145.17	89.74	611.68
0.066000	89.87	170.35	171.65	70.46	502.36	153.34	223.71	145.42	89.79	612.29
0.068000	89.71	169.92	171.68	70.62	501.95	153.42	223.74	145.42	89.77	612.37
0.070000	89.85	169.58	171.51	70.51	501.47	153.53	224.01	145.61	89.88	613.05
0.072000	89.82	169.68	171.43	70.78	501.74	153.55	224.15	145.64	89.93	613.30
0.074000	89.71	169.39	171.54	71.00	501.66	153.83	224.56	145.55	90.15	614.13
0.076000	89.87	169.07	171.49	70.95	501.40	153.58	224.40	145.77	90.04	613.82
0.078000	89.63	168.85	171.54	70.97	501.02	153.64	224.67	145.83	89.85	614.01
0.080000	89.65	168.72	171.32	70.89	500.61	153.61	224.53	146.08	89.96	614.21
0.082000	89.54	168.56	171.57	70.89	500.59	153.77	224.86	146.27	89.96	614.89
0.084000	89.71	168.29	171.49	71.05	500.57	153.75	224.72	146.32	90.26	615.09
0.086000	89.60	168.16	171.02	71.05	499.86	153.96	225.03	146.21	90.24	615.47
0.088000	89.49	167.84	171.32	71.08	499.76	153.94	224.94	146.43	90.24	615.58
0.090000	89.54	167.41	171.19	71.16	499.33	153.88	225.19	146.49	90.59	616.19
0.092000	89.32	167.57	171.21	71.33	499.46	153.72	225.63	146.49	90.51	616.38
0.094000	89.27	167.22	171.13	71.38	499.03	154.10	225.69	146.76	90.29	616.87
0.096000	89.38	166.77	170.94	71.33	498.44	153.94	225.52	146.60	90.29	616.38
0.098000	89.19	166.66	170.94	71.35	498.17	153.94	225.69	146.95	90.48	617.09
0.100000	88.97	166.34	170.83	71.38	497.54	153.99	226.02	146.82	90.62	617.48
